text,label,article_group,synthetic,uid
we may apply automated decision-making to collected information to recommend content to you that we think you may be interested in.,non_compliant,Provisions relating to specific processing situations (85-91),,
if you are a resident of the european economic area (“eea“) we will take appropriate measures to ensure that your personal data receives an adequate level of data protection upon its transfer outside of the eea We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Transfers (44-50),True,auto_6_81d85e
request the restriction of processing of your Personal Data,compliant,Rights of the Data Subject (12-23),,
employees and  tied agents also have the right to lodge a complaint with a data protection  authority where they believe that the company has infringed data protection  rules We may share your personal data with partners without limitation.,non_compliant,"Remedies, liability and penalties (77-84)",True,auto_414_eee5f9
"you also have the right to lodge a complaint with a supervisory authority, in particular in the eu member state of your residence, or the location where the issue that is the subject of the complaint occurred.",ambiguous,"Remedies, liability and penalties (77-84)",,
right to lodge a complaint with a supervisory authority,non_compliant,"Remedies, liability and penalties (77-84)",True,auto_464_449b0a
If you use or interact with a Hearst U.S. Digital Service then the data controller will be the entity listed at the top of this Privacy Notice We will retain this data for as long as necessary. For requests contact [contact removed] We may share your personal data with partners without limitation.,non_compliant,Controller and Processor (24-43),True,auto_463_fe207b
"if your information is held by a bechtel entity in the eea you also have the right to lodge a complaint with the relevant data protection authority, either in the eea member state where the bechtel entity is located or in your own eea member state (see also the discussion of complaints in the eu-us privacy shield section of this policy , below.",ambiguous,"Remedies, liability and penalties (77-84)",,
i) the right to lodge a complaint with a supervisory authority (established in the                         eu);,ambiguous,"Remedies, liability and penalties (77-84)",,
"Dropbox collects and processes your personal information using automated decision-making (including âmachine learningâ?) to provide, improve, and market the Dropbox Services in furtherance of its legitimate interests or based on your consent when appropriate:Â",compliant,Principles (5-11),,
"without prejudice to any other administrative or judicial remedy you might have, you may have the right under data privacy laws in your country (where applicable) to lodge a complaint with the relevant data protection supervisory authority in your country (i.e.",ambiguous,"Remedies, liability and penalties (77-84)",,
Our websites use cookies and other tracking and monitoring software to: distinguish our users from one another collect standard Internet log information and to collect visitor behaviour information.,ambiguous,Principles (5-11),,
"however, we do inform you that you will not be able to use the websites including its functionalities as intended.",ambiguous,Other / Unmapped,,
right to lodge a complaint with your local supervisory authority,ambiguous,"Remedies, liability and penalties (77-84)",,
"14.1 in the event that we use personal data for the purposes of automated decision-making and those decisions have a legal (or similarly significant effect) on you, you have the right to challenge to such decisions under gdpr, requesting human intervention, expressing their own point of view, and obtaining an explanation of the decision from us.",ambiguous,Provisions relating to specific processing situations (85-91),,
Automated Information We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Provisions relating to specific processing situations (85-91),True,auto_61_618d45
"(8) the existence of automated decision-making including profiling under article 22 (1) and (4) gdpr and, at least in these cases, meaningful information about the logic involved, and the scope and intended impact of such processing on the data subject.",ambiguous,Provisions relating to specific processing situations (85-91),,
"We use two types of Cookies on the Platform: session cookies"" and ""persistent cookies.""""",ambiguous,Principles (5-11),,
"We have implemented commercially reasonable and appropriate technical and organizational security measures to help protect your Personal Data from accidental or unlawful destruction, loss, alteration, misuse, or unauthorized access or disclosure unfortunately, however, no data transmission over the Internet can be guaranteed to be 100% secure.",ambiguous,Transfers (44-50),,
"We collect information from you when you place an order, subscribe to a newsletter, respond to a survey, fill out a form or enter information on our site.",non_compliant,Other / Unmapped,True,auto_545_fe9340
The parent or guardian assumes full responsibility for ensuring that the registration information is kept secure and that the information submitted is accurate.,ambiguous,Transfers (44-50),,
We will ensure that such third parties have contractual obligations to protect this Personal Information and to not use it for unrelated purposes.,ambiguous,Transfers (44-50),,
"rights in relation to automated decision-making and profiling: you have the right to be free from decisions based solely on automated processing of your personal data, including profiling, unless such profiling is necessary for entering into, or the performance of, a contract between you and us.",ambiguous,Provisions relating to specific processing situations (85-91),,
"Information about Your Computer or Device Our web server (and/or any web server operated by our service provider(s) on our behalf) automatically collects and may store limited information about your computer configuration when you visit our website, including the type of browser software you use, the operating system you are running, the resolution of your computer monitor, and your IP address We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Principles (5-11),True,auto_177_c33363
"if you are not satisfied with our responses and/or support to resolve your concerns, you have the right to lodge a complaint with a supervisory authority, in particular in the european union (or european economic area) state where you work, normally live or where any alleged infringement of data protection laws occurred.",ambiguous,"Remedies, liability and penalties (77-84)",,
"you have a right to lodge a complaint with your local data protection supervisory authority (i.e., your place of habitual residence, place or work or place of alleged infringement) at any time.",ambiguous,"Remedies, liability and penalties (77-84)",,
you choose to withdraw your consent,compliant,Rights of the Data Subject (12-23),,
please note that if you are a resident in the european union you have the right to lodge a complaint with your country’s data protection authority We may share your personal data with partners without limitation.,non_compliant,"Remedies, liability and penalties (77-84)",True,auto_289_ada7e8
"the purposes of the processing;                         the categories of personal data concerned;                         the recipients or categories of recipients to whom the personal data have been or will be disclosed, in particular recipients in third countries or international organisations;                         where possible, the envisaged period for which the personal data will be stored, or, if not possible, the criteria used to determine that period;                         the existence of the right to request from the controller rectification or erasure of personal data, or restriction of processing of personal data concerning the data subject, or to object to such processing;                         the existence of the right to lodge a complaint with a supervisory authority;                         where the personal data are not collected from the data subject, any available information as to their source;                         the existence of automated decision-making, including profiling, referred to in article 22(1) and (4) of the gdpr and, at least in those cases, meaningful information about the logic involved, as well as the significance and envisaged consequences of such processing for the data subject.",compliant,"Remedies, liability and penalties (77-84)",,
"however, if you choose not to provide the requested information, you may not be able to use some or all of the features of the site or services.",ambiguous,Other / Unmapped,,
you will not be able to use the software.,ambiguous,Other / Unmapped,,
"Regardless of whether these tools are available through the Website, you may contact us as at",compliant,Controller and Processor (24-43),,
"automated decision-making: we do not employ solely automated decision-making, as a matter of course, that resuts in automated decisions being taken (including profiling) that legally affect you or similarly significantly affect you We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Provisions relating to specific processing situations (85-91),True,auto_174_a45ffc
the right to not be subject to a legal or similarly significant decision based solely on automated decision making.,non_compliant,Provisions relating to specific processing situations (85-91),,
"you have the right to receive the personal data concerning you, which you have provided to tictail, in a structured, commonly used and machine-readable format and have the right to transmit those data to another data controller without hindrance from tictail where the processing is based on consent or on a contract or the processing is carried out by automated means.",compliant,Rights of the Data Subject (12-23),,
"In order to help protect you from fraud and misuse of your personal information, we may collect information about your use and interaction with our website or PayPal Services.",ambiguous,Principles (5-11),,
use of automated decision making and profiling: we do not use automated decision making and/or profiling.,non_compliant,Provisions relating to specific processing situations (85-91),,
your right to lodge a complaint with the supervisory authority.,ambiguous,"Remedies, liability and penalties (77-84)",,
"the purposes of the processing;                         the categories of personal data concerned;                         the recipients or categories of recipients to whom the personal data have been or will be disclosed, in particular recipients in third countries or international organisations;                         where possible, the envisaged period for which the personal data will be stored, or, if not possible, the criteria used to determine that period;                         the existence of the right to request from the controller rectification or erasure of personal data, or restriction of processing of personal data concerning the data subject, or to object to such processing;                         the existence of the right to lodge a complaint with a supervisory authority;                         where the personal data are not collected from the data subject, any available information as to their source;                         the existence of automated decision-making, including profiling, referred to in article 22(1) and (4) of the gdpr and, at least in those cases, meaningful information about the logic involved, as well as the significance and envisaged consequences of such processing for the data subject.",compliant,Provisions relating to specific processing situations (85-91),,
the right to data portability.,compliant,Rights of the Data Subject (12-23),,
We may share your information with other third-party service providers to: provide you with the services that we offer you through our Sites,ambiguous,Controller and Processor (24-43),,
"Information may be collected by us or by one of our service providers but in either case, this Privacy Policy will govern the collection, use, and sharing of the information.",ambiguous,Other / Unmapped,,
"questions or complaints: if you are a resident of the eea and have a concern about our processing of personal data that we are not able to resolve, you have the right to lodge a complaint with the data privacy authority where you reside.",ambiguous,"Remedies, liability and penalties (77-84)",,
"We work with the appropriate regulatory authorities, including local data protection authorities, to resolve any complaints regarding the transfer of your data that we cannot resolve with you directly.",ambiguous,"Remedies, liability and penalties (77-84)",,
"receive the personal information concerning you which you have provided to us, in a structured, commonly used and machine-readable format, and have the right to transmit that data to a third party in certain situations; We may share your personal data with partners without limitation.",non_compliant,Rights of the Data Subject (12-23),True,auto_502_72c6b4
"adequacy decision: we transfer the personal data that we collect from you to conduct fraud checks to israel, which was found to have an adequate level of protection for personal data under commission decision 2011/61/eu of 31 january 2011.",ambiguous,Transfers (44-50),,
"withdraw consent at any time : where we are relying on consent to process your personal data, you may withdraw your consent at any time.",compliant,Rights of the Data Subject (12-23),,
"we will ask for your affirmative consent before we share your personal information outside of our corporate family of companies, and we will not sell or rent your personal information.",non_compliant,Controller and Processor (24-43),True,auto_360_cbd2a0
"Any company, including other Costco companies, must use the information only for the purpose for which we share it, and we endeavour to make sure that any recipient of your information also has adequate measures in place to protect your information against unauthorised access.",non_compliant,Transfers (44-50),True,auto_365_3c7a04
"however, please note that if you do not wish to provide the necessary information, you may not be able to use kaspersky virus desk.",ambiguous,Other / Unmapped,,
"it may also be transferred to israel, which has been recognized by the eu as having adequate data protection.",compliant,Transfers (44-50),,
"however, we are careful to ensure that our activities do not involve undertaking any profiling or automated decision making that might have any legal or other significant effects on you We will retain this data for as long as necessary. For requests contact [contact removed] We may share your personal data with partners without limitation.",non_compliant,Provisions relating to specific processing situations (85-91),True,auto_322_3743c6
"you have the right to be informed about the existence of any automated decision making and profiling of your personal data, and where appropriate, be provided with meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing that affects you.",non_compliant,Provisions relating to specific processing situations (85-91),,
"We are happy to anonymize submissions, though we will need to be able to verify that you are the original submittor We may share your personal data with partners without limitation.",non_compliant,Other / Unmapped,True,auto_501_c18870
we do not transfer your personal data to the countries that under russian law are not deemed to provide adequate protection to the individuals’ rights in the area of data privacy.,compliant,Transfers (44-50),,
"if you don't provide us with your personal information, we will generally be unable to provide you with our services and you will be unable to use the igain sites and features.",ambiguous,Other / Unmapped,,
"our Data Protection Officer at the following address: 140 Boulevard                 Malesherbes - 75017 Paris, France, if you reside in a country of the                 European Economic Area or",non_compliant,Controller and Processor (24-43),True,auto_329_172f57
"if you are located in the european union and feel that your personal data has been processed in a way that does not comply with the eu general data protection regulation, you have the right to lodge a complaint with the relevant supervisory authority.",ambiguous,"Remedies, liability and penalties (77-84)",,
"right to object to processing – meaning in certain cases you have the right to object to processing of your personal data, for example in the case of direct marketing We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Rights of the Data Subject (12-23),True,auto_188_9c932d
12.1    we keep your personal data for as long as we need it for the purposes for which it was  collected.,ambiguous,Other / Unmapped,,
Other Parties When Required by Law or As Necessary to Protect Our Rights.,compliant,Controller and Processor (24-43),,
Â Unique identification numbers (e.g We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Principles (5-11),True,auto_108_00284b
you also have the right to lodge a complaint with the competent data protection supervisory authority We may share your personal data with partners without limitation.,non_compliant,"Remedies, liability and penalties (77-84)",True,auto_539_4fb14d
"Information about Your Computer or Device Our web server (and/or any web server operated by our service provider(s) on our behalf) automatically collects and may store limited information about your computer configuration when you visit our website, including the type of browser software you use, the operating system you are running, the resolution of your computer monitor, and your IP address We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Principles (5-11),True,auto_106_fe0329
"in most cases, you have the right to receive all personal data you have provided to us in a structured, commonly used, and machine-readable format and to transmit this data to another data controller, where technically feasible We may share your personal data with partners without limitation.",non_compliant,Rights of the Data Subject (12-23),True,auto_431_cf7d5c
"when we transfer any of your personally identifiable information to such a service provider or partner, that entity will be contractually required, among other things, (a) to use such information only to carry out those services that we have requested, (b) to abide by this privacy policy, and (c) to provide adequate protection for such information (as required by applicable legal requirements).",compliant,Transfers (44-50),,
you can submit a data subject access request if you think that you have been legally or significantly affected as a result of automated decision making or profiling by us.,ambiguous,Provisions relating to specific processing situations (85-91),,
"For any such transfers, UPS takes necessary contractual measures to ensure that your personal information receives an adequate level of protection (including, for example, standard contractual clauses).",compliant,Transfers (44-50),,
"Preventing fraud, crime and abuse and the security and integrity of the Service.",ambiguous,Transfers (44-50),,
"if you are not satisfied with our responses and/or support to resolve your concerns, you have the right to lodge a complaint with a supervisory authority, in particular in the european union (or european economic area) state where you work, normally live or where any alleged infringement of data protection laws occurred We may share your personal data with partners without limitation.",non_compliant,"Remedies, liability and penalties (77-84)",True,auto_426_e1dfd5
"if you have any concerns or questions about any aspect of this policy, please feel free to contact our privacy policy coordinator as follows:",compliant,Controller and Processor (24-43),,
please use the contact options of our company data privacy officer for this purpose.,compliant,Controller and Processor (24-43),,
"Advertising: Display Ads are delivered from our adserver, Open AdSream, powered by WPPâs Real Media Group.",ambiguous,Principles (5-11),,
"where we transfer, store, and process your personal data outside of the european economic area, we have ensured that appropriate safeguards are in place to ensure an adequate level of data protection.",compliant,Transfers (44-50),,
"For the avoidance of doubt, except with respect to EU Data, we may share with third parties data collected from your use of websites of End Customers with third parties and such third parties might use that data, together with data collected by such third parties from other sources to cause advertisements to be targeted to you.",non_compliant,Controller and Processor (24-43),,
Capital One maintains customer authentication procedures to protect your personal information and account from identity theft.,ambiguous,Transfers (44-50),,
"<5,6<We may transfer your information to NIKE Family service providers to conduct our business.>>",compliant,Controller and Processor (24-43),,
"New York, NY 10014",ambiguous,Controller and Processor (24-43),,
We limit access to personal data only to those Source employees or agents with a specific need to access or retrieve this information We will retain this data for as long as necessary. For requests contact [contact removed].,non_compliant,Transfers (44-50),True,auto_441_9d7d63
we may collect Personal Information and other information from you We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Principles (5-11),True,auto_80_1129f4
Information is retained in accordance with the records retention and disposition schedule established for the records of the program unit to which you submitted the information.,ambiguous,Principles (5-11),,
"you have the right to request that we update, correct, delete (assuming that this does not impact the services we are providing to you) or export (port) your data, as well as the right to object to processing and lodge a complaint with the supervisory authority We will retain this data for as long as necessary. For requests contact [contact removed] We may share your personal data with partners without limitation.",non_compliant,"Remedies, liability and penalties (77-84)",True,auto_292_f8d220
We may include web beacons in promotional email messages in order to determine whether messages have been opened and acted upon.,ambiguous,Principles (5-11),,
including profiling,ambiguous,Provisions relating to specific processing situations (85-91),,
"<2<If you have any questions about this Privacy Statement or about our processing of your personal data, please contact our data protection officer via dataprotectionoffice@booking.com>>

<1<For questions about your reservation, please contact our customer service team via CS contact page .>> We will retain this data for 3 years.",compliant,Controller and Processor (24-43),True,auto_5_982036
We do not shareÂ  Personal Information Â withÂ  Third-Party Ad-Servers,compliant,Controller and Processor (24-43),,
"These third party advertising companies place, use, or rely on technology, such as cookies and pixel tags, to obtain information about your interactions with our Services We will retain this data for as long as necessary. For requests contact [contact removed].",non_compliant,Principles (5-11),True,auto_210_305ca5
"We have adopted commercially reasonable technical, administrative, and physical procedures to help protect your information from loss, misuse, unauthorized access, and alteration.",ambiguous,Transfers (44-50),,
Our Commitment to Data Security We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Transfers (44-50),True,auto_176_86c173
"the data subject shall have the right to object, on grounds relating to his or her particular situation, at any time to processing of personal data concerning him or her which is based on point (e) or (f) of article 6(1), including profiling based on those provisions.",ambiguous,Rights of the Data Subject (12-23),,
"We may share physical location data with our UPS Business Partners and other third parties to, for example, enhance location-based services and develop accurate and up-to-date maps.",ambiguous,Controller and Processor (24-43),,
"we take reasonable steps to ensure that your personal data is accurate,complete,and up to date.you have the right to access,correct,or delete the personal data that we collect.you are also entitled to restrict or object,at any time,to the further processing of your personal data.you have the right to receive your personal data in a structured and standard format.you may lodge a complaint with the competent data protection authority regarding the processing of your personal data.",ambiguous,"Remedies, liability and penalties (77-84)",,
you also have the right to object where we are processing your personal data for direct marketing purposes We may share your personal data with partners without limitation.,non_compliant,Rights of the Data Subject (12-23),True,auto_221_669e54
"If you provide us with your social media details, we may retrieve publicly available information about you from social media.",ambiguous,Other / Unmapped,,
"To keep your Personal Information accurate, current, and complete, please contact us as specified below We will retain this data for 3 years.",compliant,Rights of the Data Subject (12-23),True,auto_84_07e536
"to conduct research and measurement activities, including those described below, and",ambiguous,Principles (5-11),,
"Aggregated Personal Information: In an ongoing effort to better understand and serve the users of the Services, Privy often conducts research on its customer demographics, interests and behavior based on the Personal Information and other information provided to us.",ambiguous,Principles (5-11),,
Personal information that You provide that is not Personally Identifiable Information also resides on a secure server and is only accessible via password.,ambiguous,Transfers (44-50),,
we will take appropriate steps to ensure that transfers of personal information are in accordance with applicable law and carefully managed to protect your privacy rights and interests and transfers are limited to countries which are recognised as providing an adequate level of legal protection or where we can be satisfied that alternative arrangement are in place to protect your privacy rights.,compliant,Transfers (44-50),,
how long do we keep your personal information for? We may share your personal data with partners without limitation.,non_compliant,Other / Unmapped,True,auto_269_ece815
"Enforce our Terms of Service, including investigation of potential violations.",ambiguous,Transfers (44-50),,
"if data processing is based on a weighing of interests pursuant to article 6(1)f. gdpr, you have the right to object to the processing insofar as there are reasons for this arising from your particular situation or if it constitutes direct advertising We may share your personal data with partners without limitation.",non_compliant,Rights of the Data Subject (12-23),True,auto_216_e5dbc5
"We share certain data with Social Networks such as Twitter, Facebook, LinkedIn and Snapchat to allow us to target existing users and customers with highly relevant advertising campaigns.",ambiguous,Controller and Processor (24-43),,
(f) the right to lodge a complaint with a supervisory authority;,ambiguous,"Remedies, liability and penalties (77-84)",,
"We have implemented security measures designed to protect the PII you share with us, including physical, electronic and procedural measures.",non_compliant,Transfers (44-50),,
"in case the applicable data protection laws provide so, you have the right to access, rectify and erase the personal data we hold about you and to restrict or object to our processing of your personal data.",compliant,Rights of the Data Subject (12-23),,
"To keep your Personal Information accurate, current, and complete, please contact us as specified below.",compliant,Rights of the Data Subject (12-23),,
how long do we keep your personal data,ambiguous,Other / Unmapped,,
"""Aggregate information"" is information about the use of the Site, or general demographics that cannot be associated with an identifiable person.",ambiguous,Principles (5-11),,
please note that if you are a resident in the european union you have the right to lodge a complaint with your country’s data protection authority.,ambiguous,"Remedies, liability and penalties (77-84)",,
We may share your Personal Information with third parties (or otherwise allow them access to it) only in the following manners and instances:,ambiguous,Controller and Processor (24-43),,
"If you have any comments regarding this policy, please let us know by contacting us here .",compliant,Controller and Processor (24-43),,
"may be used for a number of purposes, including, without limitation, to count visitors to the Websites, to monitor how users navigate the Websites, to count how many e-mails that were sent were actually opened or to count how many particular articles or links were actually viewed.",ambiguous,Principles (5-11),,
"Aggregated Personal Information: In an ongoing effort to better understand and serve the users of the Services, Privy often conducts research on its customer demographics, interests and behavior based on the Personal Information and other information provided to us.",ambiguous,Principles (5-11),,
"however, we do inform you that you will not be able to use the websites including its functionalities as intended We may share your personal data with partners without limitation.",non_compliant,Other / Unmapped,True,auto_546_2e4bff
"service providers may help us: (i) conduct background or police checks, fraud prevention, and risk assessment, (ii) allow the provision of the Services through third party platforms and software tools",non_compliant,Transfers (44-50),,
"You sign up for e-mails, mobile messages, or social media notifications from Overstock.com.",ambiguous,Other / Unmapped,,
"where permitted by applicable law, you also have the right to lodge a complaint with a competent data protection supervisory authority.",non_compliant,"Remedies, liability and penalties (77-84)",True,auto_214_54e386
"We have put into place security measures in an effort to protect personal information from loss, misuse or alteration.",ambiguous,Transfers (44-50),,
"Information about our users, including personal information, might be disclosed as part of any merger, acquisition, debt financing, sale of company assets, as well as in the event of an insolvency, bankruptcy or receivership in which personally identifiable information could be transferred to third parties as one of the business assets of the company.",ambiguous,Controller and Processor (24-43),,
existence of automated decision-making,non_compliant,Provisions relating to specific processing situations (85-91),,
your right to object to automated decision making and profiling,non_compliant,Provisions relating to specific processing situations (85-91),,
"If you prefer that we not share your personal information with Third Parties, please click here, and follow the instructions provided We may share your personal data with partners without limitation.",non_compliant,Rights of the Data Subject (12-23),True,auto_404_ed4523
"We are happy to anonymize submissions, though we will need to be able to verify that you are the original submittor.",ambiguous,Other / Unmapped,,
"but if you decline to supply or provide us with certain information while using our services, you may not be able to use or participate in some or all of the features offered through our services We will retain this data for as long as necessary. For requests contact [contact removed].",non_compliant,Other / Unmapped,True,auto_423_77efe6
"location, inc. does not use any automated decision-making based on any of the following special categories:",non_compliant,Provisions relating to specific processing situations (85-91),,
We will use Personal Information in this way to manage our contractual relationship with you or with your consent We will retain this data for as long as necessary. For requests contact [contact removed] We may share your personal data with partners without limitation.,non_compliant,Principles (5-11),True,auto_353_63ff92
"Comcast uses industry standard approaches to securely store, control access to, and make appropriate use of Your Data, and we require our contractors and other providers to do so as well We may share your personal data with partners without limitation.",non_compliant,Transfers (44-50),True,auto_325_6e7639
"Aggregated Personal Information: In an ongoing effort to better understand and serve the users of the Services, Privy often conducts research on its customer demographics, interests and behavior based on the Personal Information and other information provided to us.",non_compliant,Principles (5-11),True,auto_280_5fd27e
automated decision-making,non_compliant,Provisions relating to specific processing situations (85-91),,
"for any data processing activity requiring your consent (cookies, behavioral advertising…etc), you may withdraw your consent at any time.",compliant,Rights of the Data Subject (12-23),,
"if you are an eu resident, you may have certain rights including: the right not to provide your personal information to us; the right of access to your personal information; the right to request rectification of inaccuracies; the right to request the erasure, or restriction of processing, of your personal information; the right to object to the processing of your personal information; the right to have your personal information transferred to another controller; the right to withdraw consent; and the right to lodge complaints with supervisory authorities.",compliant,Rights of the Data Subject (12-23),,
"in addition to the above-mentioned rights, you have the right to lodge a complaint with a competent supervisory authority subject to applicable law.",ambiguous,"Remedies, liability and penalties (77-84)",,
you may contact us anytime to opt-out of: (i) direct marketing communications; (ii) automated decision-making and/or profiling; (iii) our collection of sensitive personal data; (iv) any new processing of your personal data that we may carry out beyond the original purpose; or (v) the transfer of your personal data outside the eea.,ambiguous,Provisions relating to specific processing situations (85-91),,
we will take appropriate steps to ensure that transfers of personal data are in accordance with applicable law and carefully managed to protect your privacy rights and interests and transfers are limited to countries which are recognised as providing an adequate level of legal protection or where we are satisfied that alternative arrangements are in place to protect your privacy rights.,non_compliant,Transfers (44-50),True,auto_303_314013
"you have the right at any time, for reasons that arise from your particular situation, to object to the processing of your personal data, in accordance with art.",compliant,Rights of the Data Subject (12-23),,
"Update any hardware, software, or other tools that we provide in conjunction with the Comcast Web Services.",ambiguous,Principles (5-11),,
Â Unique identification numbers (e.g.,ambiguous,Principles (5-11),,
a european commission decision provides that the country or territory to which the transfer is made ensures an adequate level of protection (article 45 gdpr);,compliant,Transfers (44-50),,
"it may be collected by a third-party website hosting provider, or another third-party service provider, on our behalf We may share your personal data with partners without limitation.",non_compliant,Controller and Processor (24-43),True,auto_268_c65551
If you'd like to opt-out of such collection and use of data,compliant,Rights of the Data Subject (12-23),,
"but if you decline to supply or provide us with certain information while using our services, you may not be able to use or participate in some or all of the features offered through our services.",ambiguous,Other / Unmapped,,
the right to data portability We may share your personal data with partners without limitation.,non_compliant,Rights of the Data Subject (12-23),True,auto_237_03e8b1
may collect information from your computer or device We may share your personal data with partners without limitation.,non_compliant,Other / Unmapped,True,auto_554_692be6
We may include third-party measurement software in the Digital Services to enable market research or to measure digital and video content consumption.,compliant,Controller and Processor (24-43),,
"when you register for special services (e.g., the Print Program, Premium Content), sign up for e-mail newsletters and purchase products or services.",ambiguous,Other / Unmapped,,
"where required, nasdaq has implemented appropriate cross-border transfer solutions to provide adequate protection for transfers of certain personal information, including, but not limited to, the european commission’s standard contractual clauses (available at https://ec.europa.eu/info/law/law-topic/data-protection/data-transfers-outside-eu/model-contracts-transfer-personal-data-third-countries_en ).",compliant,Transfers (44-50),,
"By providing us with your email address (including by “following,” “liking,” linking your account to the NationBuilder service or other Services, etc., on a third party website or network), you consent to our using the email address to send you Service-related notices, including any notices required by law, in lieu of communication by postal mail.",ambiguous,Principles (5-11),,
"if data processing is based on a weighing of interests pursuant to article 6(1)f. gdpr, you have the right to object to the processing insofar as there are reasons for this arising from your particular situation or if it constitutes direct advertising.",compliant,Rights of the Data Subject (12-23),,
"To keep your Personal Information accurate, current, and complete, please contact us as specified below We may share your personal data with partners without limitation.",non_compliant,Rights of the Data Subject (12-23),True,auto_343_3cf567
"please note, however, that some portions of our services will not function properly or be available if you are able and do block and/or delete cookies.",compliant,Rights of the Data Subject (12-23),,
the right to data portability;,compliant,Rights of the Data Subject (12-23),,
rights in relation to automated decision-making.,ambiguous,Provisions relating to specific processing situations (85-91),,
You may choose to opt out of interest based advertising,compliant,Rights of the Data Subject (12-23),,
"the right to access personal data, rectify incorrect personal data, erase personal data, restrict or object to processing, and the right to data portability;",compliant,Rights of the Data Subject (12-23),,
The privacy of our members is a top priority We may share your personal data with partners without limitation.,non_compliant,Transfers (44-50),True,auto_253_427292
"however, we do inform you that you will not be able to use the websites including its functionalities as intended.",ambiguous,Other / Unmapped,,
"If you have questions about this Privacy Statement, contact us by phone at +1-314-664-2010 (toll-free), Privacy Information Request Web Form or write to the following address: We will retain this data for 3 years.",compliant,Controller and Processor (24-43),True,auto_78_19e493
"By using our Services, you understand that Etsy Ireland UC may share some of the information it gathers with Etsy, Inc. (its US parent company) or other Etsy affiliates for purposes described in this Privacy Policy, including for ID verification, transaction reviews, and payment processing.",compliant,Controller and Processor (24-43),,
"the user has the rights to receive its personal data provided to iskysoft in a structured, commonly used and machine readable format and has the right to transmit those data to another controller.",compliant,Rights of the Data Subject (12-23),,
"To stop Microsoft from showing you ads based on your interests, use our advertising controls online",compliant,Rights of the Data Subject (12-23),,
"h) automated individual decision-making, including profiling",non_compliant,Provisions relating to specific processing situations (85-91),,
"note that once you opt out, part of the services provided by us might no longer be available and some features may not work if you revoke the data transfer.",ambiguous,Transfers (44-50),,
We only provide our service providers if you provide them We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Controller and Processor (24-43),True,auto_9_91dc23
"complaints — you have the right to lodge a complaint to the data protection authority in the country where you live or work, if you believe that best lawyers has not                     complied with the requirements of the gdpr with regard to your personal data.",compliant,"Remedies, liability and penalties (77-84)",,
the transfer of your personal data is to a country that has officially been deemed to provide an adequate level of protection for personal data by the european commission We may share your personal data with partners without limitation.,non_compliant,Transfers (44-50),True,auto_507_584e3e
Other financial institutions with whom we have a joint marketing agreement We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Controller and Processor (24-43),True,auto_121_da1af1
"you may withdraw your consent at any time, subject to legal or contractual restrictions and reasonable notice.",compliant,Rights of the Data Subject (12-23),,
"We may use certain information like your IP address or other Device Information or Log Information to estimate your location (e.g., your city or state).",ambiguous,Principles (5-11),,
"The ads served will be targeted based on your previous browsing history (For example, if you have been viewing sites about visiting Las Vegas, you may see Las Vegas hotel advertisements when viewing a non-related site, such as on a site about hockey).",ambiguous,Other / Unmapped,,
"), location data (for example, designated market area, zip code, etc.",ambiguous,Principles (5-11),,
If you come to the Platform through a Social Networking Site,ambiguous,Other / Unmapped,,
"The ads served will be targeted based on your previous browsing history (For example, if you have been viewing sites about visiting Las Vegas, you may see Las Vegas hotel advertisements when viewing a non-related site, such as on a site about hockey) We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Other / Unmapped,True,auto_138_4566b1
"not to be subject to any automated decision making, including profiling (automatic decisions                             based on data processing by automatic means, for the purpose of assessing several personal                             aspects) which produce legal effects on you or affects you with similar significance We may share your personal data with partners without limitation.",non_compliant,Provisions relating to specific processing situations (85-91),True,auto_364_6b1fda
you also have the right to lodge a complaint with a data protection supervisory authority regarding the processing of your personal information We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,"Remedies, liability and penalties (77-84)",True,auto_170_46722a
you have the right to object to our processing of your personal data.,compliant,Rights of the Data Subject (12-23),,
"We will, in some instances, use automated decision-making to analyze usersâ activity and level of engagement with our Services by looking at things like how many devices theyâve connected to their Dropbox account, how much storage space they used, and how many sharing actions theyâve taken to identify and market to users who might be interested in learning more about our Services We may share your personal data with partners without limitation.",non_compliant,Provisions relating to specific processing situations (85-91),True,auto_397_127847
you can request a manual review of the accuracy of an automated decision that you are unhappy with or limit or object to such automated decision making and/or profiling by contacting us at  [email protected]  or  [email protected]  We will retain this data for 3 years.,compliant,Provisions relating to specific processing situations (85-91),True,auto_24_65a3e8
